file_path,file_name,package,directory
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\sample_subject\src\main\java\com\testable\training\DataFlowSample.java,DataFlowSample.java,com.testable.training,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\sample_subject\src\main\java\com\testable\training
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\sample_subject\src\main\java\com\testable\training\OrderService.java,OrderService.java,com.testable.training,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\sample_subject\src\main\java\com\testable\training
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\sample_subject\src\main\java\com\testable\training\PaymentValidator.java,PaymentValidator.java,com.testable.training,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\sample_subject\src\main\java\com\testable\training
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\sample_subject\src\test\java\com\testable\training\DataFlowSampleTest.java,DataFlowSampleTest.java,com.testable.training,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\sample_subject\src\test\java\com\testable\training
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\sample_subject\src\test\java\com\testable\training\OrderServiceTest.java,OrderServiceTest.java,com.testable.training,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\sample_subject\src\test\java\com\testable\training
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\sample_subject\src\test\java\com\testable\training\PaymentValidatorTest.java,PaymentValidatorTest.java,com.testable.training,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\sample_subject\src\test\java\com\testable\training
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform\JsonUtils.java,JsonUtils.java,com.testable.training.platform,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform\MetricCoverageValidator.java,MetricCoverageValidator.java,com.testable.training.platform,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform\MetricDefinition.java,MetricDefinition.java,com.testable.training.platform,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform\PlatformExporter.java,PlatformExporter.java,com.testable.training.platform,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform\StaticDuAnalyzer.java,StaticDuAnalyzer.java,com.testable.training.platform,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform\StaticDuArtifactCollector.java,StaticDuArtifactCollector.java,com.testable.training.platform,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform\StaticDuJsonVerifier.java,StaticDuJsonVerifier.java,com.testable.training.platform,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform\StaticDuJsonVerifierCli.java,StaticDuJsonVerifierCli.java,com.testable.training.platform,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform\StaticDuMetricsEngine.java,StaticDuMetricsEngine.java,com.testable.training.platform,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform\StaticDuTrigger.java,StaticDuTrigger.java,com.testable.training.platform,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\main\java\com\testable\training\platform
D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\test\java\com\testable\training\platform\StaticDuMetricsEngineTest.java,StaticDuMetricsEngineTest.java,com.testable.training.platform,D:\Research in Missing Metrics\Java\Static DU Analysis\workspace\java-tool-testing-static-du\static-du-platform\src\test\java\com\testable\training\platform
